"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","設置位置","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","小児対応設備の有無","URL","画像1","画像1_ライセンス","画像2","画像2_ライセンス","外部利用不可","備考"
"131083","131083700083","江東区","小名木川児童館","オナギガワジドウカン","","131083","","東京都江東区北砂5-20-5-101","東京都","江東区","北砂5丁目","20-5-101","","35.682333","139.833738","","","事務室","(03)3640-1941","","","","","1360073","6000020131083","","月火水木金土日","09:00:00","18:00:00","祝日年末年始第2・4日曜除く","","","","","","","",""
"131083","131083700084","江東区","なでしこ幼稚園","ナデシコヨウチエン","","131083","","東京都江東区北砂5-20-7-102","東京都","江東区","北砂5丁目","20-7-102","","35.683680","139.834175","階数","1","1階玄関右 靴箱上","(03)3640-7275","","","","","1360073","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700085","江東区","亀高保育園","カメタカホイクエン","","131083","","東京都江東区北砂5-20-9-101","東京都","江東区","北砂5丁目","20-9-101","","35.684531","139.833071","","","事務室","(03)3647-9138","","","","","1360073","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700086","江東区","亀高第二保育園","カメタカダイニホイクエン","","131083","","東京都江東区北砂5-20-10-101","東京都","江東区","北砂5丁目","20-10-101","","35.685362","139.834121","","","事務室","(03)3648-9371","","","","","1360073","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700087","江東区","亀高小学校","カメタカショウガッコウ","","131083","","東京都江東区北砂5-20-16","東京都","江東区","北砂5丁目","20-16","","35.684989","139.834482","階数","1","1階正面玄関 主事室前","(03)3640-5324","","","","","1360073","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700088","江東区","第四砂町中学校","ダイヨンスナマチチュウガッコウ","","131083","","東京都江東区北砂5-20-17","東京都","江東区","北砂5丁目","20-17","","35.684711","139.831599","階数","1","1階正面玄関 主事室前","(03)3644-0569","","","","","1360073","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700089","江東区","小名木川小学校","オナギガワショウガッコウ","","131083","","東京都江東区北砂5-22-10","東京都","江東区","北砂5丁目","22-10","","35.682386","139.831198","階数","1","1階正面玄関 主事室前","(03)3644-2029","","","","","1360073","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700090","江東区","砂町中学校","スナマチチュウガッコウ","","131083","","東京都江東区北砂6-16-28","東京都","江東区","北砂6丁目","16-28","","35.685228","139.837030","階数","1","1階正面玄関 主事室前","(03)3644-3096","","","","","1360073","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700091","江東区","北砂ホーム","キタスナホーム","","131083","","東京都江東区北砂6-20-30","東京都","江東区","北砂6丁目","20-30","","35.683075","139.838398","階数","1","３F介護ステーション内","(03)5606-1731","","","","","1360073","6000020131083","","月火水木金土","08:45:00","17:45:00","祝日年末年始除く","","","","","","","",""
"131083","131083700092","江東区","第六砂町小学校","ダイロクスナマチショウガコウ","","131083","","東京都江東区北砂6-26-6","東京都","江東区","北砂6丁目","26-6","","35.682110","139.838535","階数","1","1階正面玄関","(03)3646-4462","","","","","1360073","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700093","江東区","平久小学校","ヘイキュウショウガッコウ","","131083","","東京都江東区木場1-2-2","東京都","江東区","木場1丁目","2-2","","35.667933","139.802198","階数","1","1階正面玄関 主事室前","(03)3644-0374","","","","","1350042","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700094","江東区","平久幼稚園","ヘイキュウヨウチエン","","131083","","東京都江東区木場1-2-2","東京都","江東区","木場1丁目","2-2","","35.667931","139.802218","階数","1","１階正面玄関 トイレ横","(03)3645-6260","","","","","1350042","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700095","江東区","きっずクラブ平久","キッズクラブヘイキュウ","","131083","","東京都江東区木場1-3-6","東京都","江東区","木場1丁目","3-6","","35.668385","139.802383","階数","1","1階事務室","(03)3645-3771","","","","","1350042","6000020131083","","月火水木金","15:00:00","19:00:00","学校休業日・土8:30-17:00","","","","","","","",""
"131083","131083700096","江東区","深川図書館","フカガワトショカン","","131083","","東京都江東区清澄3-3-39","東京都","江東区","清澄3丁目","3-39","","35.679125","139.796757","階数","1","１階カウンター","(03)3641-0062","","","","","1350024","6000020131083","","月火水木金土日","09:00:00","20:00:00","日曜祝日は19:00,年末年始休館日除く","","","","","","","",""
"131083","131083700097","江東区","猿江保育園","サルエホイクエン","","131083","","東京都江東区猿江1-8-10","東京都","江東区","猿江1丁目","8-10","","35.685416","139.813575","階数","1","1F事務室内","(03)3631-7315","","","","","1350003","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700098","江東区","塩浜保育園","シオハマホイクエン","","131083","","東京都江東区塩浜1-3-10","東京都","江東区","塩浜1丁目","3-10","","35.663757","139.801220","階数","1","1F事務室内出入口付近","(03)3647-0480","","","","","1350043","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700099","江東区","塩浜福祉会館","シオハマフクシカイカン","","131083","","東京都江東区塩浜2-5-20-2F","東京都","江東区","塩浜2丁目","5-20-2F","","35.661858","139.805432","階数","2","2F事務室受付","(03)3647-3901","","","","","1350043","6000020131083","","火水木金土日","09:00:00","17:00:00","第１・３・５日曜・祝日・年末年始除く","","","","","","","",""
"131083","131083700100","江東区","塩崎保育園","シオザキホイクエン","","131083","","東京都江東区塩浜2-6-3","東京都","江東区","塩浜2丁目","6-3","","35.660972","139.808700","","","事務室","(03)3645-6014","","","","","1350043","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700101","江東区","塩浜ホーム","シオハマホーム","","131083","","東京都江東区塩浜2-7-17","東京都","江東区","塩浜2丁目","7-17","","35.662922","139.807312","","","介護ステーション内","(03)5683-5571","","","","","1350043","6000020131083","","月火水木金土","08:45:00","17:45:00","祝日年末年始除く","","","","","","","",""
"131083","131083700102","江東区","きっずクラブ塩浜","キッズクラブシオハマ","","131083","","東京都江東区塩浜2-8-29-101","東京都","江東区","塩浜2丁目","8-29-101","","35.663151","139.806915","","","事務室","(03)3647-7093","","","","","1350043","6000020131083","","月火水木金","15:00:00","19:00:00","学校休業日8:30-17:00","","","","","","","",""
"131083","131083700103","江東区","深川第八中学校","フカガワダイハチチュウガッコウ","","131083","","東京都江東区塩浜2-21-14","東京都","江東区","塩浜2丁目","21-14","","35.664748","139.812090","階数","1","1階正面玄関","(03)3647-0581","","","","","1350043","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700104","江東区","潮見野球場・庭球場","シオミヤキュウジョウ・テイキュウジョウ","","131083","","東京都江東区潮見1-1-1","東京都","江東区","潮見1丁目","1-1","","35.655955","139.810200","","","管理事務所","(03)3645-1210","","","","","1350052","6000020131083","","月火水木金土日","08:00:00","18:00:00","第２・４月曜日、年末年始除く（季節により短縮あり）","","","","","","","",""
"131083","131083700105","江東区","潮見保育園","シオミホイクエン","","131083","","東京都江東区潮見1-29-15-101","東京都","江東区","潮見1丁目","29-15-101","","35.655946","139.814647","","","静養室","(03)5632-1304","","","","","1350052","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700106","江東区","環境学習情報館（えこっくる江東）","カンキョウガクシュウジョウホウカン","","131083","","東京都江東区潮見1-29-7","東京都","江東区","潮見1丁目","29-7","","35.655586","139.811688","階数","1","１Fエレベーターホール","(03)3644-7130","","","","","1350052","6000020131083","","火水木金土日","09:00:00","16:30:00","年末年始除く","","","","","","","",""
"131083","131083700107","江東区","東雲保育園","シノノメホイクエン","","131083","","東京都江東区東雲1-8-5-101","東京都","江東区","東雲1丁目","8-5-101","","35.644923","139.800105","","","事務室","(03)3531-9575","","","","","1350062","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700108","江東区","きっずクラブ東雲第二","キッズクラブシノノメダイニ","","131083","","東京都江東区東雲1-9-13-101","東京都","江東区","東雲1丁目","9-13-101","","35.646328","139.802094","","","事務室","(03)3534-2500","","","","","1350062","6000020131083","","月火水木金","15:00:00","19:00:00","学校休業日8:30-17:00","","","","","","","",""
"131083","131083700109","江東区","グランチャ東雲","グランチャシノノメ","","131083","","東京都江東区東雲1-9-46","東京都","江東区","東雲1丁目","9-46","","35.649186","139.803523","階数;階数;階数","3;5;6","3階事務所窓口;5階いこいフロア;6階事務所","(03)5548-1992","","","","","1350062","6000020131083","","月火水木金土日","09:00:00","21:00:00","第３日曜・年末年始除く","","","","","","","",""
"131083","131083700110","江東区","ひばり幼稚園","ヒバリヨウチエン","","131083","","東京都江東区東雲2-4-1-103","東京都","江東区","東雲2丁目","4-1-103","","35.642258","139.798212","階数","1","1階正面玄関","(03)3529-1454","","","","","1350062","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700111","江東区","東雲児童館","シノノメジドウカン","","131083","","東京都江東区東雲2-4-4-102","東京都","江東区","東雲2丁目","4-4-102","","35.643384","139.799215","","","事務室","(03)3529-1795","","","","","1350062","6000020131083","","月火水木金土日","09:00:00","18:00:00","祝日年末年始第2・4日曜除く","","","","","","","",""
"131083","131083700112","江東区","東雲第二保育園","シノノメダイニホイクエン","","131083","","東京都江東区東雲2-4-4-103","東京都","江東区","東雲2丁目","4-4-103","","35.643328","139.799030","","","事務室","(03)3529-1453","","","","","1350062","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700113","江東区","東雲小学校","シノノメショウガッコウ","","131083","","東京都江東区東雲2-4-11","東京都","江東区","東雲2丁目","4-11","","35.642492","139.799062","階数","1","1階東側玄関 主事室前","(03)3529-1451","","","","","1350062","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700114","江東区","きっずクラブ東雲第三","キッズクラブシノノメダイサン","","131083","","東京都江東区東雲2-7-3","東京都","江東区","東雲2丁目","7-3","","35.642471","139.805750","","","事務室","(03)5530-2236","","","","","1350062","6000020131083","","月火水木金","15:00:00","19:00:00","学校休業日8:30-17:00","","","","","","","",""
"131083","131083700115","江東区","東雲図書館","シノノメトショカン","","131083","","東京都江東区東雲2-7-5-201","東京都","江東区","東雲2丁目","7-5-201","","35.643558","139.805388","階数","2","２階カウンター","(03)3529-1141","","","","","1350062","6000020131083","","月火水木金土日","09:00:00","20:00:00","日曜祝日は19:00,年末年始休館日除く","","","","","","","",""
"131083","131083700116","江東区","深川江戸資料館","フカガワエドシリョウカン","","131083","","東京都江東区白河1-3-28","東京都","江東区","白河1丁目","3-28","","35.681184","139.800593","階数","1","1Fロビー（エレベーター前）","(03)3630-8625","","","","","1350021","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第2・4月曜除く","","","","","","","",""
"131083","131083700117","江東区","白河かもめ保育園","シラカワカモメホイクエン","","131083","","東京都江東区白河1-5-1-101","東京都","江東区","白河1丁目","5-1-101","","35.683371","139.800184","","","玄関","(03)3643-7671","","","","","1350021","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700118","江東区","白河保育園","シラカワホイクエン","","131083","","東京都江東区白河1-7-1","東京都","江東区","白河1丁目","7-1","","35.683192","139.799676","","","事務室","(03)3641-1198","","","","","1350021","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700119","江東区","白河高齢者在宅サービスセンター","シラカワコウレイシャザイタクサービスセンター","","131083","","東京都江東区白河3-4-3-201","東京都","江東区","白河3丁目","4-3-201","","35.682165","139.805759","階数","3","2F静養室内","(03)3630-6591","","","","","1350021","6000020131083","","月火水木金土","08:30:00","18:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700120","江東区","深川保健相談所","フカガワホケンソウダンジョ","","131083","","東京都江東区白河3-4-3-301","東京都","江東区","白河3丁目","4-3-301","","35.682222","139.805589","階数","3","３Fだれでもトイレ前","(03)3641-1181","","","","","1350021","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700121","江東区","元加賀小学校","モトカガショウガッコウ","","131083","","東京都江東区白河4-3-19","東京都","江東区","白河4丁目","3-19","","35.682002","139.807991","階数","1","1階中央玄関 主事室前","(03)3641-0601","","","","","1350021","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700122","江東区","元加賀幼稚園","モトカガヨウチエン","","131083","","東京都江東区白河4-9-17","東京都","江東区","白河4丁目","9-17","","35.683266","139.807614","階数","1","１階玄関左 職員室横","(03)3641-1778","","","","","1350021","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700123","江東区","八名川小学校","ヤナガワショウガッコウ","","131083","","東京都江東区新大橋3-1-15","東京都","江東区","新大橋3丁目","1-15","","35.686821","139.795399","階数","1","1階正面玄関 主事室前","(03)3631-2260","","","","","1350007","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700124","江東区","多機能ホーム新砂","タキノウホームシンスナ","","131083","","東京都江東区新砂3-3-11","東京都","江東区","新砂3丁目","3-11","","35.666809","139.832886","階数","3","3F介護施設内","(03)5677-1333","","","","","1360075","6000020131083","","月火水木金土日","08:30:00","17:30:00","","","","","","","","",""
"131083","131083700125","江東区","新砂保育園","シンスナホイクエン","","131083","","東京都江東区新砂3-3-11","東京都","江東区","新砂3丁目","3-11","","35.666705","139.832878","階数","1","1F事務室内","(03)5677-1332","","","","","1360075","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700126","江東区","新砂運動場","シンスナウンドウジョウ","","131083","","東京都江東区新砂3-9-1","東京都","江東区","新砂3丁目","9-1","","35.656970","139.835013","","","管理事務所","(03)3648-6610","","","","","1360075","6000020131083","","月火水木金土日","08:00:00","18:00:00","第２・４月曜日、年末年始除く（季節により短縮あり）","","","","","","","",""
"131083","131083700127","江東区","こどもプラザ","コドモプラザ","","131083","","東京都江東区住吉1-9-8","東京都","江東区","住吉1丁目","9-8","","35.687663","139.813398","","","各階","(03)5600-3880","","","","","1350002","6000020131083","","月火水木金土日","09:00:00","18:00:00","第３金曜・年末年始除く","","","","","","","",""
"131083","131083700128","江東区","東川小学校","トウセンショウガッコウ","","131083","","東京都江東区住吉1-12-2","東京都","江東区","住吉1丁目","12-2","","35.688464","139.812506","階数","1","1階正面玄関","(03)3631-5508","","","","","1350002","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700129","江東区","江東公会堂（ティアラこうとう）","コウトウコウカイドウ","","131083","","東京都江東区住吉2-28-36","東京都","江東区","住吉2丁目","28-36","","35.688496","139.819500","階数","-1","B1F事務所内","(03)3635-5500","","","","","1350002","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第1・3月曜除く","","","","","","","",""
"131083","131083700130","江東区","深川第四中学校","フカガワダイヨンチュウガッコウ","","131083","","東京都江東区千石1-12-12","東京都","江東区","千石1丁目","12-12","","35.678622","139.812922","階数","1","1階正面玄関 主事室前","(03)3644-3077","","","","","1350015","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700131","江東区","川南小学校","センナンショウガッコウ","","131083","","東京都江東区千石2-9-12","東京都","江東区","千石2丁目","9-12","","35.679720","139.816762","階数","1","1階正面玄関 職員用下駄箱上","(03)3647-0574","","","","","1350015","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700132","江東区","川南幼稚園","センナンヨウチエン","","131083","","東京都江東区千石2-9-12","東京都","江東区","千石2丁目","9-12","","35.679605","139.816447","階数","1","１階職員室入り口横","(03)3647-2983","","","","","1350015","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700133","江東区","千田福祉会館","センダフクシカイカン","","131083","","東京都江東区千田21-18","東京都","江東区","千田","21-18","","35.681055","139.816542","","","１Ｆ事務室","(03)3647-0108","","","","","1350013","6000020131083","","月火水木金土日","09:00:00","18:00:00","第２・４日曜・祝日・年末年始除く","","","","","","","",""
"131083","131083700134","江東区","千田保育園","センダホイクエン","","131083","","東京都江東区千田22-8","東京都","江東区","千田","22-8","","35.680588","139.816560","階数","1","1F事務室内","(03)5683-1266","","","","","1350013","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700135","江東区","深川北子ども家庭支援センター","フカガワキタコドモカテイシエンセンター","","131083","","東京都江東区髙橋14-6","東京都","江東区","髙橋","14-6","","35.686016","139.799227","階数","1","１階 事務室","(03)5600-8701","","","","","1350005","6000020131083","","月火水木金土","09:00:00","18:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700136","江東区","深川小学校","フカガワショウガッコウ","","131083","","東京都江東区高橋14-10","東京都","江東区","高橋","14-10","","35.685880","139.799446","階数","1","1階職員室前","(03)3631-2209","","","","","1350005","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700137","江東区","辰巳中学校","タツミチュガッコウ","","131083","","東京都江東区辰巳1-10-57","東京都","江東区","辰巳1丁目","10-57","","35.646848","139.811368","階数","1","1階職員玄関","(03)3521-8581","","","","","1350053","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700138","江東区","辰巳第二保育園","タツミダイニホイクエン","","131083","","東京都江東区辰巳1-10-65-101","東京都","江東区","辰巳1丁目","10-65-101","","35.648994","139.810613","","","事務室前廊下","(03)3521-0369","","","","","1350053","6000020131083","","月火水木金土","07:30:00","20:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700139","江東区","辰巳第三保育園","タツミダイサンホイクエン","","131083","","東京都江東区辰巳1-10-81-101","東京都","江東区","辰巳1丁目","10-81-101","","35.648198","139.811427","","","玄関","(03)3521-3263","","","","","1350053","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700140","江東区","第二辰巳小学校","ダイニタツミショウガッコウ","","131083","","東京都江東区辰巳1-1-22","東京都","江東区","辰巳1丁目","1-22","","35.648514","139.808422","階数","1","1階北側職員玄関奥 右側壁面","(03)3521-3803","","","","","1350053","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700141","江東区","辰巳児童館","タツミジドウカン","","131083","","東京都江東区辰巳1-1-36","東京都","江東区","辰巳1丁目","1-36","","35.647534","139.808988","階数","1","1階受付窓口","(03)3521-3261","","","","","1350053","6000020131083","","火水木金土日","09:00:00","17:00:00","祝日年末年始第１・３・５日曜除く","","","","","","","",""
"131083","131083700142","江東区","辰巳小学校","タツミショウガッコウ","","131083","","東京都江東区辰巳1-11-1","東京都","江東区","辰巳1丁目","11-1","","35.646516","139.809991","階数","1","1階正面玄関 主事室前","(03)3521-1164","","","","","1350053","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700143","江東区","辰巳幼稚園","タツミヨウチエン","","131083","","東京都江東区辰巳1-11-1","東京都","江東区","辰巳1丁目","11-1","","35.646275","139.810653","","","職員玄関 職員室前","(03)3521-2187","","","","","1350053","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700144","江東区","保健所・健康センター","ホケンジョ・ケンコウセンター","","131083","","東京都江東区東陽2-1-1","東京都","江東区","東陽2丁目","1-1","","35.665740","139.814215","階数","1","1階ホール","(03)3647-5402","","","","","1350016","6000020131083","","月火水木金土日","09:00:00","21:00:00","第２・４月曜日、年末年始除く","","","","","","","",""
"131083","131083700145","江東区","江東ホーム","コウトウホーム","","131083","","東京都江東区東陽2-1-2","東京都","江東区","東陽2丁目","1-2","","35.665877","139.814935","階数","2","２F介護ステーション","(03)3647-5081","","","","","1350016","6000020131083","","月火水木金土","08:45:00","17:45:00","祝日年末年始除く","","","","","","","",""
"131083","131083700146","江東区","東陽中学校","トウヨウチュウガッコウ","","131083","","東京都江東区東陽2-1-8","東京都","江東区","東陽2丁目","1-8","","35.666755","139.814050","階数","1","1階玄関壁","(03)3645-2381","","","","","1350016","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700147","江東区","南陽幼稚園","ナンヨウヨウチエン","","131083","","東京都江東区東陽2-1-14","東京都","江東区","東陽2丁目","1-14","","35.667456","139.813757","階数","1","1階正面玄関 正面扉右横","(03)3649-1077","","","","","1350016","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700148","江東区","南陽小学校","ナンヨウショウガッコウ","","131083","","東京都江東区東陽2-1-20","東京都","江東区","東陽2丁目","1-20","","35.668420","139.813776","階数;階数","1;1","1階正面玄関 主事室前;増築校舎１階玄関 図工室前","(03)3649-3461","","","","","1350016","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700149","江東区","東陽子ども家庭支援センター","トウヨウコドモカテイシエンセンター","","131083","","東京都江東区東陽3-1-2","東京都","江東区","東陽3丁目","1-2","","35.668562","139.808592","階数","1","１階 エレベーター前","(03)3699-4871","","","","","1350016","6000020131083","","月火水木金土","09:00:00","18:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700150","江東区","東陽保育園","トウヨウホイクエン","","131083","","東京都江東区東陽3-22-1-101","東京都","江東区","東陽3丁目","22-1-101","","35.669207","139.813820","","","事務室","(03)3647-8458","","","","","1350016","6000020131083","","月火水木金土","07:30:00","19:30:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700151","江東区","東陽小学校","トウヨウショウガッコウ","","131083","","東京都江東区東陽3-27-12","東京都","江東区","東陽3丁目","27-12","","35.670679","139.815570","階数","1","1階保健室内","(03)3644-0406","","","","","1350016","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700152","江東区","産業会館","サンギョウカイカン","","131083","","東京都江東区東陽4-5-18","東京都","江東区","東陽4丁目","5-18","","35.669815","139.818604","","","第6展示室入口横","(03)3699-6011","","","","","1350016","6000020131083","","月火水木金土日","09:00:00","22:00:00","第２・４日曜・祝日・年末年始除く","","","","","","","",""
"131083","131083700153","江東区","江東区文化センター","コウトウクブンカセンター","","131083","","東京都江東区東陽4-11-3","東京都","江東区","東陽4丁目","11-3","","35.672493","139.818666","階数;階数","2;2","2F事務所前;2Fホールロビー倉庫内","(03)3644-8111","","","","","1350016","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第2・4月曜除く","","","","","","","",""
"131083","131083700154","江東区","江東区役所","コウトウクヤクショ","","131083","","東京都江東区東陽4-11-28","東京都","江東区","東陽4丁目","11-28","","35.672774","139.817271","階数;階数","2;4","2階区民ホール;4階ＥＶホール","(03)3647-9111","","","","","1350016","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700155","江東区","江東区防災センター","コウトウクボウサイセンター","","131083","","東京都江東区東陽4-11-28","東京都","江東区","東陽4丁目","11-28","","35.671480","139.813656","階数","2","2階連絡通路","(03)3647-9111","","","","","1350016","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700156","江東区","東陽児童館","トウヨウジドウカン","","131083","","東京都江東区東陽5-16-13","東京都","江東区","東陽5丁目","16-13","","35.671372","139.811804","","","事務室","(03)3647-8190","","","","","1350016","6000020131083","","火水木金土日","09:00:00","17:00:00","祝日年末年始第１・３・５日曜除く","","","","","","","",""
"131083","131083700157","江東区","豊住庭球場","トヨズミテイキュウジョウ","","131083","","東京都江東区東陽6-1-13","東京都","江東区","東陽6丁目","1-13","","35.674255","139.810686","","","管理事務所","(03)3647-4077","","","","","1350016","6000020131083","","月火水木金土日","08:00:00","18:00:00","第２・４月曜日、年末年始除く（季節により短縮あり）","","","","","","","",""
"131083","131083700158","江東区","東陽福祉会館","トウヨウフクシカイカン","","131083","","東京都江東区東陽6-2-17高齢者総合福祉センター","東京都","江東区","東陽6丁目","2-17 高齢者総合福祉センター","","35.674683","139.812103","階数","1","1F事務所","(03)3647-8180","","","","","1350016","6000020131083","","月火水木金土日","09:00:00","18:00:00","第２・４日曜・祝日・年末年始除く","","","","","","","",""
"131083","131083700159","江東区","シルバー人材センター","シルバージンザイセンター","","131083","","東京都江東区東陽6-2-17高齢者総合福祉センター","東京都","江東区","東陽6丁目","2-17 高齢者総合福祉センター","","35.674683","139.812103","階数","2","２F事務所","(03)3649-3533","","","","","1350016","6000020131083","","月火水木金","09:00:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700160","江東区","東陽高齢者在宅サービスセンター","トウヨウコウレイシャザイタクサービスセンター","","131083","","東京都江東区東陽6-2-17高齢者総合福祉センター","東京都","江東区","東陽6丁目","2-17 高齢者総合福祉センター","","35.674683","139.812103","階数","3","３F事務所","(03)5606-8861","","","","","1350016","6000020131083","","月火水木金土","08:30:00","18:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700161","江東区","芭蕉記念館","バショウキネンカン","","131083","","東京都江東区常盤1-6-3","東京都","江東区","常盤1丁目","6-3","","35.686129","139.794053","階数","1","1F受付窓口脇","(03)3631-1448","","","","","1350006","6000020131083","","月火水木金土日","09:00:00","22:00:00","年末年始第2・4月曜除く","","","","","","","",""
"131083","131083700162","江東区","富岡出張所","トミオカシュッチョウジョ","","131083","","東京都江東区富岡1-16-12","東京都","江東区","富岡1丁目","16-12","","35.671769","139.798571","階数","1","１F出張所内","(03)3642-8306","","","","","1350047","6000020131083","","月火水木金","08:30:00","17:00:00","祝日・年末年始除く","","","","","","","",""
"131083","131083700163","江東区","深川庭球場","フカガワテイキュウジョウ","","131083","","東京都江東区富岡1-17-9","東京都","江東区","富岡1丁目","17-9","","35.672278","139.798887","","","管理事務所","(03)3643-3099","","","","","1350047","6000020131083","","月火水木金土日","08:00:00","18:00:00","第２・４月曜日、年末年始除く（季節により短縮あり）","","","","","","","",""
"131083","131083700164","江東区","数矢小学校","カズヤショウガッコウ","","131083","","東京都江東区富岡1-18-7","東京都","江東区","富岡1丁目","18-7","","35.672593","139.799788","階数","1","1階西玄関","(03)3642-0476","","","","","1350047","6000020131083","","月火水木金","08:00:00","16:00:00","学校開庁日","","","","","","","",""
"131083","131083700165","江東区","豊洲文化センター","トヨスブンカセンター","","131083","","東京都江東区豊洲2-2-18豊洲シビックセンター","東京都","江東区","豊洲2丁目","2-18 豊洲シビックセンター","","35.654235","139.795388","階数","8","8Fロビー","(03)3536-5061","","","","","1350061","6000020131083","","月火水木金土日","09:00:00","22:00:00","第２・４月曜日、年末年始除く","","","","","","","",""
